No,分局,派出所,警編,位置
1,新興分局,中山所,KC98A0015,中山一路與中正四路美麗島站(東側)向西
2,新興分局,中山所,KC98A0016,中山一路與中正四路美麗島站(東側)向西
3,新興分局,中山所,KC98A0017,中山一路與中正四路美麗島站(西側)向東
4,新興分局,中山所,KC98A0018,中山一路與中正四路美麗島站(西側)向東
5,新興分局,中山所,KC98A0019,中山一路與中正四路美麗島站(南側)向北
6,新興分局,中山所,KC98A0020,中山一路與中正四路美麗島站(南側)向北
7,新興分局,中山所,KC98A0021,中山一路與中正四路美麗島站(北側)向南
8,新興分局,中山所,KC98A0022,中山一路與中正四路美麗島站(北側)向南
9,新興分局,中山所,KC98C0049,中正四路、自立二路(向北)
10,新興分局,中山所,KC98C0054,中山一路、大同一路口(向東)
11,新興分局,中山所,KC98C0314,南華路、六合一路(向南)
12,新興分局,中山所,KC98C0053,中正三路、南台路(向北)
13,新興分局,中山所,KC98C0312,南華路、六合一路(向北)
14,新興分局,中山所,KC98C0313,南華路、六合一路(向西)
15,新興分局,中山所,KC98E0455,林森一路123巷1號旁(向西)
16,新興分局,中山所,KC98E0459,大同一路126-4號(向東)108維109維
17,新興分局,中山所,KC98E0461,中山一路18號之1(向東)
18,新興分局,中山所,KC98E0462,中山一路22-1號前(南往北)-109維運
19,新興分局,中山所,KC98E0468,南台路153號(向西)109維
20,新興分局,中山所,KC98E0469,自立一路與南台橫路口(向東)108維
21,新興分局,中山所,KC98E0470,河南二路、繼光街口(向東)108維
22,新興分局,中山所,KC98E0473,八德二路與南台口(向南)
23,新興分局,中山所,KC98E0474,八德二路與同愛街口(向西)108維
24,新興分局,中山所,KC98E0475,八德二路與南台路口(向北)
25,新興分局,中山所,KC98E0476,同愛街與同愛街35巷口(東往西)108維、109維運
26,新興分局,中山所,KC98E0481,同愛街46號旁(向東)
27,新興分局,中山所,KC98E0482,民主橫路與八德二路口(向南)
28,新興分局,中山所,KC98E0483,八德二路4號(向西)108維、109維
29,新興分局,中山所,KC98E0485,七賢二路與同愛街口(向北)
30,新興分局,中山所,KC98E0486,八德二路與同愛街口(向南)
31,新興分局,中山所,KC98E0490,南台橫路與南台路口(向東)108維、109維
32,新興分局,中山所,KC98E0493,同愛街27巷與同愛街口(向西)
33,新興分局,中山所,KC98E0494,七賢二路與南台路口(向北)-109維運
34,新興分局,中山所,KC98E0495,七賢二路8巷(向南)109維
35,新興分局,中山所,KC98E0497,林森一路、林森一路167巷口(向西)108維
36,新興分局,中山所,KC98E0499,大同一路與中山一路口(向東)
37,新興分局,中山所,KC98E0501,南華路80-3號(向南)
38,新興分局,中山所,KC98E0502,南華路與林森一路145巷(向東)
39,新興分局,中山所,KC98E0503,林森一路145巷41-4號(向東)109維
40,新興分局,中山所,KC98E0504,林森一路與林森一路145巷口(向西)
41,新興分局,中山所,KC98E0505,林森一路與復橫一路口(向西)-109維運
42,新興分局,中山所,KC98E0506,南華路30-1號旁(向東)108維109維
43,新興分局,中山所,KC98E0507,林森一路與林森一路161巷口(向西)
44,新興分局,中山所,KC98E0508,林森一路161巷55號(向東)108維
45,新興分局,中山所,KC98E0509,林森一路與球庭路口(向西)
46,新興分局,中山所,KC98E0510,南華路54號(向東)
47,新興分局,中山所,KC98E0511,中正三路與南華路口(向東)
48,新興分局,中山所,KC98E0512,大同一路與中山一路口(向北)
49,新興分局,中山所,KC98E0513,南台路62巷1號(向東)108維
50,新興分局,中山所,KC98E0515,中山橫路17號(向西)108維
51,新興分局,中山所,KC98E0516,中山橫路51號旁(向東)108維
52,新興分局,中山所,KC98E0518,中山橫路73號旁(向東)
53,新興分局,中山所,KC98E0522,南台路73巷28號(向東)108維
54,新興分局,中山所,KC98E0523,南台路74巷1號(向東)108維
55,新興分局,中山所,KC98E0526,南台路70號之1(向南)108維
56,新興分局,中山所,KC98E0528,中正四路與南台路口(向北)108維
57,新興分局,中山所,KC98E0530,大同一路與南台路口(向北)
58,新興分局,中山所,KC98E0532,中正四路17號(向南)
59,新興分局,中山所,KC98E0533,南台路與南台路43巷口(向西)
60,新興分局,中山所,KC98E0534,南台路43巷、自立二路口(向東)
61,新興分局,中山所,KC98E0539,中正四路與自立二路口(向南)-109維運
62,新興分局,中山所,KC98E0540,自立橫路與南台路口(向東)
63,新興分局,中山所,KC98E0542,中正四路與南台路口(向東)
64,新興分局,中山所,KC98E0543,中正四路65號(向南)
65,新興分局,中山所,KC101A0001,南華路147號汕頭麵店旁/向東
66,新興分局,中山所,KC101A0002,玉山銀行旁巷內教會宿舍後面  向西108維
67,新興分局,中山所,KC101A0003,林森一路與南華橫一路(中華電信側門前)向西109維
68,新興分局,中山所,KC101A0004,南華路與南華橫一路/向東
69,新興分局,中山所,KC101A0005,南華路155號前/向南
70,新興分局,中山所,KC101A0006,六合一路180巷52號前向南108維109維
71,新興分局,中山所,KC101A0007,中山一路222號前/向北
72,新興分局,中山所,KC101A0008,六合一路180巷2號前向北108維
73,新興分局,中山所,KC101A0009,南華路132號前/向北
74,新興分局,中山所,KC101A0010,南華路123號前/向南108維
75,新興分局,中山所,KC101A0011,六合一路154之4號前向西109維
76,新興分局,中山所,KC101A0012,六合一路172號前/向西
77,新興分局,中山所,KC101A0013,六合一路160之1號前/向東
78,新興分局,中山所,KC101A0014,林森一路209號前向西北108維
79,新興分局,中山所,KC101A0015,七賢一路467號前/向東
80,新興分局,中山所,KC101A0016,七賢一路539號前/向東
81,新興分局,中山所,KC101A0017,林森一路203巷7號/向西
82,新興分局,中山所,KC101A0018,林森一路203巷51號/向東
83,新興分局,中山所,KC101A0019,興華路(林森一路189號邊) / 向西
84,新興分局,中山所,KC101A0020,興華路78號前 / 向東
85,新興分局,中山所,KC101A0021,南華路83巷(中正三路160號後)向西-109維運
86,新興分局,中山所,KC101A0022,南華路83巷(天主教堂邊)     / 向東
87,新興分局,中山所,KC101A0023,南華路89號 / 向南
88,新興分局,中山所,KC101A0024,南華路75號 / 向南
89,新興分局,中山所,KC101A0025,南華路98號 / 向西
90,新興分局,中山所,KC101A0026,南華路108-2號前 / 向北
91,新興分局,中山所,KC101A0027,六合一路173號前 / 向東
92,新興分局,中山所,KC101A0028,六合一路與南華路口向南
93,新興分局,中山所,KC101A0029,中正三路與林森一路(西北方) / 向南
94,新興分局,中山所,KC101A0030,六合一路與林森一路(西北方) / 向南
95,新興分局,中山所,KC101A0031,南華路75號 / 向北
96,新興分局,中山所,KC101A0032,六合一路移民署前/向東
97,新興分局,中山所,KC101A0033,中山一路與河南路口 / 向東108維、109維
98,新興分局,中山所,KC101A0034,八德一路316號前 / 向西
99,新興分局,中山所,KC101A0035,南華路184號前向東
100,新興分局,中山所,KC101A0036,七賢一路528巷1號前燈柱 / 向北
101,新興分局,中山所,KC101A0037,八德一路370號前 / 向西
102,新興分局,中山所,KC101A0038,七賢一路與南華路口 / 向北
103,新興分局,中山所,KC101A0039,南華路207巷8號前 / 向東
104,新興分局,中山所,KC101A0040,南華與河南路口/向南
105,新興分局,中山所,KC101A0041,林森一路與八德路口 / 向南
106,新興分局,中山所,KC101A0042,七賢一路土銀前(往太子)
107,新興分局,中山所,KC101A0043,南華路195號旁對面/向東
108,新興分局,中山所,KC101A0044,林森一路南華橫二路/向西
109,新興分局,中山所,KC101A0045,林森一路南華路207巷 / 向西
110,新興分局,中山所,KC101A0046,林森一路與林森一路243巷 / 向西
111,新興分局,中山所,KC101A0047,林森一路243巷南華路 / 向東
112,新興分局,中山所,KC101A0048,八德一路與中山一路343號 / 向東
113,新興分局,中山所,KC101A0049,民主橫路9巷60號前   / 向西108維
114,新興分局,中山所,KC101A0050,民主路與自立二路口 / 向東
115,新興分局,中山所,KC101A0051,民主路與南台路(西南角) / 向東
116,新興分局,中山所,KC101A0052,明星街與自立二路口 / 向東
117,新興分局,中山所,KC101A0053,自立二路124號 / 向北
118,新興分局,中山所,KC101A0054,自立二路138號  向東108維109維
119,新興分局,中山所,KC101A0055,七賢二路與南台路口  向北108維109維
120,新興分局,中山所,KC101A0056,自立二路162巷口 / 向北-109維運
121,新興分局,中山所,KC101A0057,自立二路162巷口 / 向東
122,新興分局,中山所,KC101A0058,民主橫路41巷口   / 向南
123,新興分局,中山所,KC101A0059,七賢二路103號/向西
124,新興分局,中山所,KC101A0060,七賢二路85號/向東108維
125,新興分局,中山所,KC101A0061,明星街67號/向西
126,新興分局,中山所,KC101A0062,南台路103號對面/向西
127,新興分局,中山所,KC101A0063,自立二路120巷1號前/向東
128,新興分局,中山所,KC101A0064,七賢二路與自立二路向東109維
129,新興分局,中山所,KC101A0065,自立二路1-2號 / 向北
130,新興分局,中山所,KC101A0066,民生二路46巷、大同一路口 / 向西
131,新興分局,中山所,KC101A0067,民生二路46巷口 / 向西108維
132,新興分局,中山所,KC101A0068,大同一路229巷6號對面(大同國小牆邊) / 向南
133,新興分局,中山所,KC101A0069,大同一路229巷口 / 向東
134,新興分局,中山所,KC101A0070,新盛二街大同國小旁 / 向南
135,新興分局,中山所,KC101A0071,新盛街與大同一路口 / 向南
136,新興分局,中山所,KC101A0072,大同一路與瑞源路口 / 向東
137,新興分局,中山所,KC101A0073,大同路213號 / 向東
138,新興分局,中山所,KC101A0074,大同一路與自立二路口 / 向南
139,新興分局,中山所,KC101A0075,民生二路、大同一路229巷 / 向北
140,新興分局,中山所,KC101A0076,民生二路與民生二路36巷口 / 向北
141,新興分局,中山所,KC101A0077,大同一路188號 / 向西
142,新興分局,中山所,KC101A0078,大同一路183巷1號 / 向西
143,新興分局,中山所,KC101A0079,自立二路1-2號 / 向南
144,新興分局,中山所,KC101A0080,大同一路與自立二路 / 向南
145,新興分局,中山所,KC101A0081,南台路84號   / 向北
146,新興分局,中山所,KC101A0082,南台路128號 / 向北
147,新興分局,中山所,KC101A0083,民主橫路9巷60號 / 向東
148,新興分局,中山所,KC101A0084,六合一路1號康是美前 向西108維109維
149,新興分局,中山所,KC101A0085,民主橫路與七賢路口  / 向南
150,新興分局,中山所,KC101A0086,民主南台路口向北
151,新興分局,中山所,KC101A0087,七賢二路與六合二路6巷口(尊龍飯店前) / 向東
152,新興分局,中山所,KC101A0088,六合二路6巷43號  向南109維
153,新興分局,中山所,KC101A0089,六合二路6巷6號   / 向北
154,新興分局,中山所,KC101A0090,民主橫路41巷14號對面 / 向東
155,新興分局,中山所,KC101A0091,民主橫路41巷27號對面  向西109維
156,新興分局,中山所,KC101A0092,民主橫路14號前 / 向西
157,新興分局,中山所,KC101A0093,民主路4號   / 向西
158,新興分局,中山所,KC101A0094,民主路34號 / 向西
159,新興分局,中山所,KC101A0095,明星街5號   / 向西
160,新興分局,中山所,KC101A0096,明星街61號 / 向東108維
161,新興分局,中山所,KC101D0001,新興區林森一路與河南一路口109維
162,新興分局,中山所,KC101D0002,新興區河南一路與八德一路384巷口
163,新興分局,中山所,KC101D0003,新興區八德一路與八德一路384巷口
164,新興分局,中山所,KC101D0004,新興區中山一路與七賢一路口
165,新興分局,中山所,KC101D0005,新興區中山一路278號前
166,新興分局,中山所,KC101D0006,新興區七賢一路與七賢一路528巷
167,新興分局,中山所,KC101D0007,新興區自立二路1之14號前
168,新興分局,中山所,KC101D0008,新興區自立二路1之14號前
169,新興分局,中山所,KC101D0009,新興區大同一路與民生二路46巷口109維
170,新興分局,中山所,KC101D0010,新興區大同一路183巷與大同一路口
171,新興分局,中山所,KC101D0011,新興區大同一路183巷內(大同一路189之2號前)
172,新興分局,中山所,KC101D0012,新興區大同一路與南華一路口【南華路2號旁】
173,新興分局,中山所,KC101D0013,新興區南華一路34號前108維109維
174,新興分局,中山所,KC101D0014,新興區林森一路123巷33號前108維109維
175,新興分局,中山所,KC101D0015,新興區新興路61之1號前108維
176,新興分局,中山所,KC101D0016,新興區林森一路97巷16號前
177,新興分局,中山所,KC101H0001,新興區林森一路167巷內
178,新興分局,中山所,KC101H0002,新興區林森一路與復橫一路口108維
179,新興分局,中山所,KC101H0003,新興區林森一路與復橫一路口108維
180,新興分局,中山所,KC101H0004,新興區林森一路與大同一路口
181,新興分局,中山所,KC101H0005,新興區南華路50之2號前
182,新興分局,中山所,KC101H0006,新興區南華路50之2號前
183,新興分局,中山所,KC101H0007,新興區南華路42之6號前
184,新興分局,中山所,KC101H0008,新興區中山一路44號前109維
185,新興分局,中山所,KC101H0009,新興區中山一路50號前
186,新興分局,中山所,KC101H0010,新興區中山一路與中山一路60巷口
187,新興分局,中山所,KC101H0011,新興區中山一路86號前
188,新興分局,中山所,KC101H0012,新興區中山一路100號前
189,新興分局,中山所,KC101H0013,高雄捷運美麗島站3號出口旁
190,新興分局,中山所,KC101H0014,高雄捷運美麗島站3號出口旁
191,新興分局,中山所,KC101H0015,新興區中正三路187號前
192,新興分局,中山所,KC101H0016,新興區河南一路與八德路384巷口
193,新興分局,中山所,KC101H0017,新興區八德一路與七賢一路528巷口
194,新興分局,中山所,KC101H0018,新興區中山一路292號前
195,新興分局,中山所,KC101H0019,新興區中山一路與七賢一路口
196,新興分局,中山所,KC101H0020,新興區七賢南華路口(往太子))
197,新興分局,中山所,KC101H0021,新興區八德一路359號前
198,新興分局,中山所,KC101H0022,新興區林森一路與林森一路255巷口
199,新興分局,中山所,KC101H0023,新興區林森一路242號前
200,新興分局,中山所,KC101H0024,新興區河南一路111號前
201,新興分局,中山所,KC101H0025,新興區南華路與南華路207巷口
202,新興分局,中山所,KC101H0026,新興區南華路188號前108維
203,新興分局,中山所,KC101H0027,新興區自立二路與民主路口向南108維
204,新興分局,中山所,KC101H0028,新興區自立二路111號前向北108維
205,新興分局,中山所,KC101H0029,新興區自立二路與明星街口-109維運
206,新興分局,中山所,KC101H0030,新興區自立二路130號前108維
207,新興分局,中山所,KC101H0031,新興區七賢二路93號前
208,新興分局,中山所,KC101H0032,新興區七賢二路93號前
209,新興分局,中山所,KC101H0033,新興區南台路84號前-109維運
210,新興分局,中山所,KC101H0034,新興區中山一路與七賢二路口
211,新興分局,中山所,KC101H0035,新興區七賢二路與民主路口向南(全景)
212,新興分局,中山所,KC101H0036,新興區七賢二路與民主橫口108維
213,新興分局,中山所,KC101H0037,新興區南華路141號前108維109維
214,新興分局,中山所,KC101H0038,新興區南華橫一路11號之1前
215,新興分局,中山所,KC101H0039,新興區六合一路與六合一路180巷口
216,新興分局,中山所,KC101H0040,新興區六合一路130號(保二總隊第四大隊)前
217,新興分局,中山所,KC101H0041,新興區中山一路154號前(捷運美麗島站10號出口旁)108維
218,新興分局,中山所,KC101H0042,新興區六合一路113號前
219,新興分局,中山所,KC101H0043,新興區六合一路與林森一路口108維
220,新興分局,中山所,KC101H0044,新興區六合一路173號前
221,新興分局,中山所,KC101H0045,新興區六合一路173號前108維
222,新興分局,中山所,KC101H0046,新興區林森一路192號前108維
223,新興分局,中山所,KC101H0047,新興區中正三路與南華路口
224,新興分局,中山所,KC101H0048,新興區南華路與興華路口
225,新興分局,中山所,KC101H0049,新興區七賢二路與七賢二路8巷口(向西全景)108維
226,新興分局,中山所,KC101H0050,新興區中山一路與七賢二路口108維
227,新興分局,中山所,KC101H0051,新興區七賢二路8巷(向北)
228,新興分局,中山所,KC101H0052,新興區七賢二路與民主橫路口
229,新興分局,中山所,KC101H0053,新興區七賢二路68號前
230,新興分局,中山所,KC101H0054,新興區八德二路與民主橫路口
231,新興分局,中山所,KC101H0055,新興區同愛街27巷27號前
232,新興分局,中山所,KC101H0056,新興區八德二路35之2號前
233,新興分局,中山所,KC101H0057,新興區八德二路與同愛街口
234,新興分局,中山所,KC101H0058,新興區八德二路16之2號前108維
235,新興分局,中山所,KC101H0059,新興區河南二路與同愛街口
236,新興分局,中山所,KC101H0060,中山八德向東
237,新興分局,中山所,KC101H0061,新興區南台路18-4號旁108維
238,新興分局,中山所,KC101H0062,新興區南台路與自立橫路口
239,新興分局,中山所,KC101H0063,新興區南台路43巷1弄口
240,新興分局,中山所,KC101H0064,新興區自立二路與自立橫路口
241,新興分局,中山所,KC101H0065,新興區自立二路與自立橫路口(向南)
242,新興分局,中山所,KC101H0066,新興區中正四路63巷22號旁
243,新興分局,中山所,KC101H0067,新興區自立橫路25之2號旁
244,新興分局,中山所,KC101H0068,新興區南台路26之3號旁108維
245,新興分局,中山所,KC101H0069,新興區中山一路與自立橫路口
246,新興分局,中山所,KC101H0070,新興區民生二路與大同一路229巷口
247,新興分局,中山所,KC101H0071,新興區民生二路與大同一路229巷口
248,新興分局,中山所,KC101H0072,新興區中山、大同(向東)
249,新興分局,中山所,KC101H0073,新興區新盛二街與大同一路口
250,新興分局,中山所,KC101H0074,新興區新盛二街與大同一路口108維
251,新興分局,中山所,KC106C0001,KC106C0001_美麗島站1號出口(南向北)
252,新興分局,中山所,KC106C0002,KC106C0002_美麗島站2號出口(北向南)
253,新興分局,中山所,KC106C0009,KC106C0009_美麗島站9號出口(北向南)
254,新興分局,中山所,KC106C0011,KC106C0011_美麗島站11號出口(北向南)
255,新興分局,中山所,KC106C0003,KC106C0003_美麗島站3號出口(東北向西南)
256,新興分局,中山所,KC106C0005,KC106C0005_美麗島站5號出口(西向東)
257,新興分局,中山所,KC106C0006,KC106C0006_美麗島站6號出口(東向西)
258,新興分局,中山所,KC106C0004,KC106C0004_美麗島站4號出口(西向東)
259,新興分局,中山所,KC106C0007,KC106C0007_美麗島站7號出口(西向東)
260,新興分局,中山所,KC106C0008,KC106C0008_美麗島站8號出口(東向西)
261,新興分局,中山所,KC106C0010,KC106C0010_美麗島站10號出口(北向南)
262,新興分局,中山所,KC106C0048,KC106C0048_中正三路、中山一路口南往北禁行機車道(南向北)
263,新興分局,中山所,KC106C0049,KC106C0049_中正三路、中山一路口南往北快、慢車道(南向北)
264,新興分局,中山所,KC106C0050,KC106C0050_中正三路、中山一路口東往西禁行機車道(東向西)
265,新興分局,中山所,KC106C0051,KC106C0051_中正三路、中山一路口東往西快、慢車道(東向西)
266,新興分局,中山所,KC106C0045,KC106C0045_中山一路、八德路口北向南(北向南)
267,新興分局,中山所,KC106C0046,KC106C0046_中山一路、八德路口北向南(北向南)
268,新興分局,中山所,KC106C0047,KC106C0047_七賢二路東向西(東向西)
269,新興分局,中山所,KC108A0001,KC108A0001_中山一路18-1號旁路燈桿_漢民045
270,新興分局,中山所,KC108A0002,KC108A0002_民生一路392號路燈桿_漢民023
271,新興分局,中山所,KC108A0003,KC108A0003_中山一路18-5號旁路燈桿_漢民005
272,新興分局,中山所,KC108A0004,KC108A0004_大同一路126號前燈桿(東坡026)
273,新興分局,中山所,KC108A0005,KC108A0005_林森一路135號旁路燈桿_東坡030
274,新興分局,中山所,KC108A0006,KC108A0006_民生一路與林森一路口西北角號誌桿
275,新興分局,中山所,KC108A0007,KC108A0007_民生一路與林森一路口西北角號誌桿
276,新興分局,中山所,KC108A0008,KC108A0008_中山一路18-1號旁路燈桿_漢民045
277,新興分局,中山所,KC108A0009,KC108A0009_八德二路101號路燈桿_建興049
278,新興分局,中山所,KC108A0010,KC108A0010_自立一路50號號誌桿
279,新興分局,中山所,KC108A0011,KC108A0011_中正四路81號路燈桿_青山037
280,新興分局,中山所,KC108A0012,KC108A0012_中正四路68號前路燈桿_明莊008
281,新興分局,中山所,KC109A0001,KC109A0001_中山一路201號前路燈桿_秋山004
282,新興分局,中山所,KC109A0002,KC109A0002_中山一路201號前路燈桿_秋山004
283,新興分局,中山所,KC109A0003,KC109A0003_中山一路195號前路燈桿_秋山003
284,新興分局,中山所,KC109A0004,KC109A0004_中山一路195號前路燈桿_秋山003
285,新興分局,中山所,KC109A0005,KC109A0005_中山一路179號前路燈桿_秋山001
286,新興分局,中山所,KC109A0006,KC109A0006_中山一路173號前六合夜市牌坊(東向西)
287,新興分局,中山所,KC109A0007,KC109A0007_中山一路173號前六合夜市牌坊
288,新興分局,中山所,KC109A0008,KC109A0008_中山一路173號前六合夜市牌坊(西向東)
289,新興分局,中山所,KC109A0009,KC109A0009_中山一路31號前路燈桿_榮治057
290,新興分局,中山所,KC109A0010,KC109A0010_中山一路31號前路燈桿_榮治057
291,新興分局,中山所,KC109A0011,KC109A0011_中山一路31號前路燈桿_榮治057
292,新興分局,中山所,KC109A0012,KC109A0012_中山一路與民生二路西北角路燈桿_榮治025
293,新興分局,中山所,KC109A0013,KC109A0013_中山一路與民生二路西北角路燈桿_榮治059
294,新興分局,中山所,KC109A0014,KC109A0014_中山一路與民生二路西北角路燈桿_榮治059
295,新興分局,中山所,KC109A0015,KC109A0015_大同一路179號前路燈桿_榮治019
296,新興分局,中山所,KC109A0016,KC109A0016_大同一路179號前路燈桿_榮治019
297,新興分局,中正三所,KC100C005,民族二路、興邦路口向西
298,新興分局,中正三所,KC100C006,民族二路、興邦路口向東
299,新興分局,中正三所,KC100C007,民族二路、興邦路口向南
300,新興分局,中正三所,KC100C008,民族二路、興邦路口向南
301,新興分局,中正三所,KC98A0025,中正三路與民族路信義國小站向東
302,新興分局,中正三所,KC98A0026,中正三路與民族路信義國小站向西
303,新興分局,中正三所,KC98A0027,中正三路與忠孝路口向東
304,新興分局,中正三所,KC98A0028,中正三路與忠孝路口向西
305,新興分局,中正三所,KC98C0057,七賢一路、尚義街口(向西)
306,新興分局,中正三所,KC98C0058,七賢一路、尚義街口(向南)
307,新興分局,中正三所,KC98C0316,忠孝一路、大同一路(向南)
308,新興分局,中正三所,KC98C0317,忠孝一路、大同一路(向西)
309,新興分局,中正三所,KC98C0318,忠孝一路、大同一路(向北)
310,新興分局,中正三所,KC98E0369,民族二路70巷與民族二路口(向東)(109維數位)
311,新興分局,中正三所,KC98E0370,六合路與民族二路口(向東)(109維數位)
312,新興分局,中正三所,KC98E0371,民族二路42巷與民族二路口(向東)(109維數位)
313,新興分局,中正三所,KC98E0372,信守街與民族二路口(向東)(109維數位)
314,新興分局,中正三所,KC98E0373,中東街160號對面(向西)(109維數位)
315,新興分局,中正三所,KC98E0374,尚義街與中東街口(向南)(109維數位)
316,新興分局,中正三所,KC98E0375,六合一路與尚義街口(向北)(109維數位)
317,新興分局,中正三所,KC98E0376,六合一路與尚義街口(向南)(109維數位)
318,新興分局,中正三所,KC98E0377,信守街與尚義街口(向東(109維數位))
319,新興分局,中正三所,KC98E0378,尚義街112巷與尚義街口(向東)(109維數位)
320,新興分局,中正三所,KC98E0379,尚義街與中正二路口(向北)(109維數位)
321,新興分局,中正三所,KC98E0380,尚信街與中正二路口(向北)(109維數位)
322,新興分局,中正三所,KC98E0381,尚信街與信守街口(向西)(109維數位)
323,新興分局,中正三所,KC98E0382,尚義街136巷與尚義街口(向東)(109維數位)
324,新興分局,中正三所,KC98E0383,六合路與和平一路口(向東)(109維數位)
325,新興分局,中正三所,KC98E0385,民族二路中東街口(向東)(108維)
326,新興分局,中正三所,KC98E0386,七賢一路、民族二路口(向東)
327,新興分局,中正三所,KC98E0387,尚義街與民族二路88巷口(向西)
328,新興分局,中正三所,KC98E0389,七賢一路18號(向西)(108維)
329,新興分局,中正三所,KC98E0390,民族二路與尚仁街5巷口(向東)
330,新興分局,中正三所,KC98E0391,尚仁街與尚仁街5巷口(向西)
331,新興分局,中正三所,KC98E0394,尚文街與民族二路口(向東)
332,新興分局,中正三所,KC98E0395,尚文街口與尚仁街(向西)
333,新興分局,中正三所,KC98E0396,七賢一路與尚仁街口(向北)
334,新興分局,中正三所,KC98E0397,河南路與尚仁街口(向南)(108維)
335,新興分局,中正三所,KC98E0398,河南路與尚文街44巷口(向南)
336,新興分局,中正三所,KC98E0399,河南路與尚文街20巷口(向東)
337,新興分局,中正三所,KC98E0401,民族二路、民族二路55巷(向西)
338,新興分局,中正三所,KC98E0402,信守街與開封街口(向東)
339,新興分局,中正三所,KC98E0403,民族二路81巷與開封街口(向東)
340,新興分局,中正三所,KC98E0404,民族二路81巷與民族二路口(向西)
341,新興分局,中正三所,KC98E0405,民族二路105巷與開封街口(向東)
342,新興分局,中正三所,KC98E0406,六合一路26號前00437號燈桿(向西)(109維)
343,新興分局,中正三所,KC98E0407,錦田路78巷旁(向西) (108維)
344,新興分局,中正三所,KC98E0408,開封路與七賢一路口(向南)
345,新興分局,中正三所,KC98E0409,開封路與中正三路口(向北)
346,新興分局,中正三所,KC98E0410,中東街與民族二路口(向西)
347,新興分局,中正三所,KC98E0411,中東街與開封街134號旁(向東)
348,新興分局,中正三所,KC98E0412,民族二路與六合一路口(向西)(109維)
349,新興分局,中正三所,KC98E0413,六合一路與錦田路(向東)
350,新興分局,中正三所,KC98E0414,中東街、錦田路口(向北)
351,新興分局,中正三所,KC98E0415,開封路300巷(向東)
352,新興分局,中正三所,KC98E0416,開封路301巷(向西)
353,新興分局,中正三所,KC98E0417,大同路與仁愛一街交叉口(向西)(108維)
354,新興分局,中正三所,KC98E0418,大同路與忠孝一路交叉口(向東)
355,新興分局,中正三所,KC98E0419,忠孝一路226巷與忠孝一路交叉口(向東)(108維)
356,新興分局,中正三所,KC98E0420,忠孝一路226巷與仁愛一街交叉口(向西)(109維)
357,新興分局,中正三所,KC98E0421,忠孝一路258巷7號前(向東)(108維)
358,新興分局,中正三所,KC98E0422,忠孝一路258巷與仁愛一街交叉口(向西)(108維)
359,新興分局,中正三所,KC98E0423,復橫一路與忠孝一路交叉口(向東)
360,新興分局,中正三所,KC98E0424,復橫一路198號(向東)
361,新興分局,中正三所,KC98E0425,球庭路與忠孝一路交叉口(向東)
362,新興分局,中正三所,KC98E0426,球庭路與仁愛一街交叉口(向西)
363,新興分局,中正三所,KC98E0427,忠孝一路、林森一路130巷口(向南)
364,新興分局,中正三所,KC98E0428,中正三路、仁愛一街交叉口(向東)
365,新興分局,中正三所,KC98E0429,中正三路與忠孝一路交叉口(向南)
366,新興分局,中正三所,KC98E0430,中正三路與仁愛一街交叉口(向南)
367,新興分局,中正三所,KC98E0431,球庭路、仁愛一街交叉口(向南)
368,新興分局,中正三所,KC98E0432,林森一路158巷與忠孝一路交叉口(向南)
369,新興分局,中正三所,KC98E0433,南海街、錦田路口(向東)
370,新興分局,中正三所,KC98E0434,復橫一路與錦田路口(向東)
371,新興分局,中正三所,KC98E0435,渤海街2號前(向西)
372,新興分局,中正三所,KC98E0436,南海街與錦田路口(向南)
373,新興分局,中正三所,KC98E0437,錦田路與中正三路口(向東)
374,新興分局,中正三所,KC98E0438,復橫一路54號(向西)
375,新興分局,中正三所,KC98E0439,中正三路與開封路口(向南)
376,新興分局,中正三所,KC98E0440,開封路77號(向南)
377,新興分局,中正三所,KC98E0441,錦田路與中正三路口(向南)
378,新興分局,中正三所,KC98E0442,民生一路、開封路口( 南向北)
379,新興分局,中正三所,KC98E0444,錦田路與渤海街口(向東)(108維)
380,新興分局,中正三所,KC98E0445,錦田路與黃海街口(向東)(109維)
381,新興分局,中正三所,KC98E0446,東海街、民生一路口(向西)
382,新興分局,中正三所,KC98E0447,民族二路與復橫一路口(向西)
383,新興分局,中正三所,KC98E0448,黃海街36號前(向東)
384,新興分局,中正三所,KC98E0571,黃海街、錦田路口(向北)(108維)
385,新興分局,中正三所,KC98E0572,南海街6號、開封路口(向西)
386,新興分局,中正三所,KC98E0573,復橫一路、錦田路口(向南)
387,新興分局,中正三所,KC98E0575,民生一路、達仁街口(向西)
388,新興分局,中正三所,KC98E0576,中正三路、達仁街口(向南)
389,新興分局,中正三所,KC100G0010,新興區和平一路與中東街口
390,新興分局,中正三所,KC100G0011,新興區和平一路與尚義街190巷口(東向西)
391,新興分局,中正三所,KC100G0012,新興區尚仁街66巷內
392,新興分局,中正三所,KC100G0013,新興區河南路與民族路口(西向東)
393,新興分局,中正三所,KC100G0014,新興區民族路與尚文街口(南向北)
394,新興分局,中正三所,KC100G0015,新興區河南路與河南路305巷口(北向南)(108維)
395,新興分局,中正三所,KC100G0016,新興區開封路與中東街口(108維)
396,新興分局,中正三所,KC100G0017,新興區開封路300巷與民族二路口(108維)
